ENSEMBL ID,HGNC Symbol,WGCNA module color,WGCNA Module Label
ENSG00000125503,PPP1R12C,grey,11
ENSG00000125505,MBOAT7,midnightblue,17
ENSG00000125510,OPRL1,grey,11
ENSG00000125520,SLC2A4RG,grey,11
ENSG00000125534,PPDPF,turquoise,24
ENSG00000125611,CHCHD5,grey,11
ENSG00000125618,PAX8,grey,11
ENSG00000125629,INSIG2,grey,11
ENSG00000125630,POLR1B,grey60,12
ENSG00000125633,CCDC93,grey,11
ENSG00000125637,PSD4,grey,11
ENSG00000125648,SLC25A23,turquoise,24
ENSG00000125650,PSPN,grey,11
ENSG00000125651,GTF2F1,grey,11
ENSG00000125652,ALKBH7,grey,11
ENSG00000125656,CLPP,darkgreen,5
ENSG00000125657,TNFSF9,grey,11
ENSG00000125675,GRIA3,magenta,16
ENSG00000232119,MCTS1,brown,3
ENSG00000125686,MED1,grey,11
ENSG00000125691,RPL23,royalblue,21
ENSG00000125703,ATG4C,blue,2
ENSG00000125730,C3,pink,18
ENSG00000125733,TRIP10,purple,19
ENSG00000125734,GPR108,grey,11
ENSG00000125741,OPA3,grey,11
ENSG00000125743,SNRPD2,brown,3
ENSG00000125744,RTN2,yellow,25
ENSG00000125746,EML2,blue,2
ENSG00000125753,VASP,purple,19
ENSG00000125755,SYMPK,darkred,7
ENSG00000125772,GPCPD1,grey,11
ENSG00000125775,SDCBP2,grey,11
ENSG00000125779,PANK2,grey60,12
ENSG00000125804,FAM182A,grey,11
ENSG00000125810,CD93,purple,19
ENSG00000125812,GZF1,grey,11
ENSG00000125814,NAPB,magenta,16
ENSG00000125817,CENPB,blue,2
ENSG00000125818,PSMF1,turquoise,24
ENSG00000125820,NKX2-2,blue,2
ENSG00000125821,DTD1,greenyellow,10
ENSG00000125826,RBCK1,grey,11
ENSG00000125827,TMX4,greenyellow,10
ENSG00000125834,STK35,grey,11
ENSG00000125835,SNRPB,grey,11
ENSG00000125841,NRSN2,midnightblue,17
ENSG00000125843,AP5S1,grey,11
ENSG00000125844,RRBP1,blue,2
ENSG00000125845,BMP2,red,20
ENSG00000125846,ZNF133,lightcyan,13
ENSG00000125850,OVOL2,grey,11
ENSG00000125851,PCSK2,magenta,16
ENSG00000125863,MKKS,brown,3
ENSG00000125864,BFSP1,grey,11
ENSG00000125868,DSTN,brown,3
ENSG00000125869,LAMP5,grey,11
ENSG00000125870,SNRPB2,yellow,25
ENSG00000125872,LRRN4,grey,11
ENSG00000125875,TBC1D20,grey,11
ENSG00000125877,ITPA,grey,11
ENSG00000125885,MCM8,tan,23
ENSG00000125895,TMEM74B,grey,11
ENSG00000125898,FAM110A,grey,11
ENSG00000235711,ANKRD34C,yellow,25
ENSG00000125912,NCLN,grey,11
ENSG00000125931,CITED1,grey,11
ENSG00000125944,HNRNPR,turquoise,24
ENSG00000125945,ZNF436,red,20
ENSG00000125952,MAX,grey,11
ENSG00000125967,NECAB3,yellow,25
ENSG00000125968,ID1,grey,11
ENSG00000125970,RALY,blue,2
ENSG00000125971,DYNLRB1,grey,11
ENSG00000125977,EIF2S2,grey,11
ENSG00000125991,ERGIC3,brown,3
ENSG00000125995,ROMO1,grey,11
ENSG00000125997,BPIFB9P,turquoise,24
ENSG00000126001,CEP250,black,1
ENSG00000126003,PLAGL2,turquoise,24
ENSG00000126010,GRPR,yellow,25
ENSG00000126012,KDM5C,grey,11
ENSG00000126016,AMOT,green,9
